MatchID,GameID,Team Name,TeamID,Result,Pistols Won,Potential Thrifties,Thrifties Won
644720,258371,NAVI,1184,lost,1,2,0
644721,258372,M8,8877,won,2,2,0
644721,258372,KC,12694,lost,0,3,0
644721,258373,KC,12694,won,2,2,1
644721,258373,M8,8877,lost,0,4,0
644721,258374,M8,8877,won,0,2,1
644721,258374,KC,12694,lost,2,3,0
644722,258375,GX,14419,won,1,2,0
644722,258375,BBL,397,lost,1,1,0
644722,258376,BBL,397,won,0,2,1
644722,258376,GX,14419,lost,2,1,1
644722,264326,GX,14419,won,1,3,0
644722,264326,BBL,397,lost,1,2,0
644723,258378,M8,12694,won,1,2,0
644723,258378,NAVI,4915,lost,1,2,0
644723,258379,M8,12694,won,1,1,0
644723,258379,NAVI,4915,lost,1,1,0
644724,258381,EF,6392,won,2,2,0
644724,258381,VIT,2059,lost,0,2,0
644724,258382,EF,6392,won,1,3,1
644724,258382,VIT,2059,lost,1,2,0
644725,258384,KC,1001,won,1,2,1
644725,258384,TH,8877,lost,1,4,2
644725,258385,TH,8877,won,2,0,0
644725,258385,KC,1001,lost,0,3,0
644725,258386,TH,8877,won,1,2,0
644725,258386,KC,1001,lost,1,3,1
644726,258387,FUT,474,won,0,4,0
644726,258387,TL,1184,lost,2,0,0
644726,258388,FUT,474,won,1,3,1
644726,258388,TL,1184,lost,1,3,1
644727,258390,FNC,2593,won,1,2,0
644727,258390,PCF,3478,lost,1,1,0
644727,258391,FNC,2593,won,1,1,0
644727,258391,PCF,3478,lost,1,3,0
644728,258393,PCF,6392,won,0,3,1
644728,258393,EF,3478,lost,2,2,0
644728,258394,EF,3478,won,2,1,0
644728,258394,PCF,6392,lost,0,4,1
644728,258395,EF,3478,won,1,3,0
644728,258395,PCF,6392,lost,1,3,0
644729,258396,TL,4915,won,1,1,0
644729,258396,NAVI,474,lost,1,2,1
644729,258397,NAVI,474,won,2,2,0
644729,258397,TL,4915,lost,0,4,0
644729,258398,TL,4915,won,2,1,0
644729,258398,NAVI,474,lost,0,3,0
644730,258399,GX,14419,won,2,0,0
644730,258399,FNC,2593,lost,0,3,0
644730,258400,FNC,2593,won,1,2,0
644730,258400,GX,14419,lost,1,2,1
644730,258401,FNC,2593,won,0,2,1
644730,258401,GX,14419,lost,2,3,1
644731,258402,KC,8877,won,1,1,0
644731,258402,FUT,1184,lost,1,3,1
644731,258403,FUT,1184,won,2,2,1
644731,258403,KC,8877,lost,0,3,0
644731,258404,FUT,1184,won,1,1,0
644731,258404,KC,8877,lost,1,2,0
644732,258405,TH,1001,won,2,0,0
644732,258405,M8,12694,lost,0,4,0
644732,258406,TH,1001,won,1,2,1
644732,258406,M8,12694,lost,1,3,0
644733,258408,VIT,397,won,1,1,0
644733,258408,BBL,2059,lost,1,3,0
644733,258409,BBL,2059,won,1,2,0
644733,258409,VIT,397,lost,1,1,0
644733,258410,BBL,2059,won,1,2,0
644733,258410,VIT,397,lost,1,2,0
644734,258411,TH,1001,won,1,4,2
644734,258411,FUT,1184,lost,1,3,0
644734,258412,TH,1001,won,1,1,1
644734,258412,FUT,1184,lost,1,1,0
644735,258414,VIT,2059,won,1,2,1
644735,258414,PCF,3478,lost,1,3,0
644735,258415,VIT,2059,won,2,0,0
644735,258415,PCF,3478,lost,0,4,0
644736,258417,NAVI,8877,won,0,3,1
644736,258417,KC,4915,lost,2,2,0
644736,258418,NAVI,8877,won,1,2,0
644736,258418,KC,4915,lost,1,3,0
644737,258420,FNC,2593,won,2,0,0
644737,258420,BBL,397,lost,0,4,0
644737,258421,FNC,2593,won,2,0,0
644737,258421,BBL,397,lost,0,4,0
644738,258423,EF,6392,won,1,2,0
644738,258423,GX,14419,lost,1,1,0
644738,258424,EF,6392,won,0,3,1
644738,258424,GX,14419,lost,2,3,0
644739,258426,TL,474,won,1,2,0
644739,258426,M8,12694,lost,1,3,1
644739,258427,TL,474,won,1,1,0
644739,258427,M8,12694,lost,1,3,1
660381,265462,TH,6392,won,0,2,0
660381,265462,EF,1001,lost,2,4,0
660381,265463,EF,1001,won,1,1,0
660381,265463,TH,6392,lost,1,4,0
660381,265464,EF,1001,won,2,0,0
660381,265464,TH,6392,lost,0,3,0
660382,265465,VIT,474,won,1,1,0
660382,265465,TL,2059,lost,1,1,0
660382,265466,TL,2059,won,1,3,0
660382,265466,VIT,474,lost,1,1,1
660382,265467,VIT,474,won,1,1,0
660382,265467,TL,2059,lost,1,3,0
660383,265468,EF,1184,won,2,2,1
660383,265468,FUT,6392,lost,0,3,1
660383,265469,FUT,6392,won,2,0,0
660383,265469,EF,1184,lost,0,2,0
660383,265470,FUT,6392,won,2,2,1
660383,265470,EF,1184,lost,0,3,0
660384,265471,VIT,2059,won,2,0,0
660384,265471,FNC,2593,lost,0,3,0
660384,265472,VIT,2059,won,1,3,1
660384,265472,FNC,2593,lost,1,5,2
660387,265482,TH,397,won,1,1,1
660387,265482,BBL,1001,lost,1,1,0
660387,265483,TH,397,won,1,3,0
660387,265483,BBL,1001,lost,1,2,0
660388,265485,TL,12694,won,2,1,1
660388,265485,M8,474,lost,0,5,0
660388,265486,M8,474,won,2,0,0
660388,265486,TL,12694,lost,0,4,1
660388,265487,M8,474,won,1,1,0
660388,265487,TL,12694,lost,1,2,0
660389,265488,FNC,1001,won,0,3,1
660389,265488,TH,2593,lost,2,0,0
660389,265489,TH,2593,won,2,0,0
660389,265489,FNC,1001,lost,0,3,0
660389,265490,TH,2593,won,0,1,0
660389,265490,FNC,1001,lost,2,1,1
660390,265491,EF,12694,won,2,2,1
660390,265491,M8,6392,lost,0,3,0
660390,265492,EF,12694,won,1,1,0
660390,265492,M8,6392,lost,1,4,0
660385,265474,VIT,1184,won,0,3,0
